patient_id,age,gender,country,national_id
P291,59,F,ARG,23-80143601-0
P399,34,F,UK,MO428550C
P084,51,F,ARG,23-87207243-2
P096,34,F,Spain,22498308H
P377,68,F,Spain,69053503F
P046,71,F,UK,XY926952U
P002,73,F,UK,KL466654A
P338,36,F,MEX,ZDJB490397HEZ3FO
P321,35,M,Germany,4476448689F
P193,34,M,UK,NN980535V
P025,47,F,Spain,30313180L
P242,42,M,ARG,20-99648425-4
P005,24,F,Spain,41911705P
P205,55,F,UK,AE423148S
P111,74,M,Germany,8944119341F
P424,73,M,Spain,39083264N
P055,24,M,Germany,8431579610M
P159,59,F,ARG,20-08716856-6
P286,63,M,ARG,23-93720398-2
P021,30,F,MEX,UZHE470155HTCENA
P117,74,F,ARG,23-09928820-5
P322,74,M,Spain,86941576A
P007,67,M,MEX,AVWK550226HEA1QX
P229,46,M,UK,RT597873F
P181,66,F,MEX,NJKB185354MWGRDN
P319,55,F,Germany,9396078807F
P023,27,M,ARG,20-49716052-7
P104,63,M,MEX,LRYD135991MPHVA0
P308,44,M,Germany,6688068298F
P282,41,M,ARG,27-50972904-0
P162,22,M,Germany,4408428047M
P265,49,F,UK,TZ836706S
P499,27,M,Spain,79354680H
P355,21,F,ARG,20-53919842-5
P252,40,F,UK,OU705968L
P298,76,M,UK,VN750666X
P208,41,M,UK,AX891418X
P464,67,M,ARG,27-25461269-4
P068,76,M,ARG,23-89894451-7
P297,45,F,MEX,KUYG195787MPXGPD
P224,66,M,MEX,BOGZ455480HKF5KU
P238,54,F,Spain,47322953X
P262,43,M,Spain,76756308K
P157,55,F,Spain,13638580B
P473,70,M,UK,TQ035719N
P231,32,M,MEX,NBYN148540MFK7VW
P176,29,F,UK,QQ792296V
P248,36,M,Spain,64399849U
P369,28,F,Spain,84888662Z
P107,29,F,Spain,82259718L
P414,37,M,Germany,1105067158M
P306,62,F,Germany,6191574552M
P029,51,M,Spain,28007346H
P083,52,F,MEX,LUQL734442HMMTT0
P351,60,F,ARG,23-82556911-0
P386,44,F,ARG,23-05276094-4
P077,59,M,UK,BV045608Y
P337,49,F,UK,TC566453S
P498,22,F,MEX,SOSW177478MFSO4W
P255,48,F,UK,WP133671N
P389,22,F,Spain,03776710T
P305,32,F,MEX,UVRX263154HGX5R2
P279,76,M,MEX,HPZR631802HXIUVC
P341,47,M,Germany,7323556139M
P420,66,F,UK,ZD345241L
P350,42,M,Spain,84917825J
P358,36,F,UK,RX970281B
P232,27,F,Germany,6482111310F
P440,29,M,ARG,27-31660120-9
P189,67,F,Spain,56789244D
P013,24,M,Germany,1753907891M
P269,71,M,Spain,17960570E
P235,35,F,ARG,27-73257371-7
P486,68,F,ARG,20-21877426-9
P292,78,F,Spain,32414542I
P226,46,F,ARG,27-05071637-1
P209,49,M,Spain,90005924K
P261,30,F,UK,XI067089R
P400,53,M,Germany,2745566543F
P277,60,M,Germany,5701458154M
P073,34,M,Germany,2871925021M
P134,32,F,Germany,1417296061F
P081,67,M,UK,RS626400S
P136,27,M,UK,SZ622236K
P481,38,F,MEX,CYIS028163MFOZF6
P390,63,M,MEX,RIAI422383MZM1FL
P363,71,M,ARG,27-01883626-3
P173,49,F,UK,XU116376Y
P166,75,F,Spain,65213189R
P439,56,M,MEX,YTAZ945984MGCKP0
P313,46,F,Germany,3313612592F
P306,62,F,Germany,6191574552M
P163,72,M,Spain,87272097U
P069,62,F,Germany,3570733978M
P182,28,F,MEX,NWGZ447721HBST7O
P041,28,F,UK,UB927873G
P032,64,F,UK,JT946826D
P072,58,F,MEX,TUPA533389MQCCY0
P391,40,M,MEX,HVZH267997HHCFGN
P132,73,F,MEX,BOQL753244HNVWHD
P050,30,F,UK,CL366564S
P082,72,M,MEX,VXFG600643HCJ3RM
P147,48,M,ARG,23-46092968-3
P146,71,M,UK,ZK717489D
P027,66,M,Germany,8022284795M
P410,35,F,Germany,9751336560M
P443,74,M,ARG,27-02452582-1
P356,27,F,Spain,48238425S
P361,44,F,Germany,0789802169M
P397,60,F,Spain,67882385E
P125,51,F,Spain,37050993U
P253,36,F,MEX,IGOV424175MWPZSV
P357,63,M,ARG,27-16917613-4
P431,68,M,Germany,6596968078F
P021,30,F,MEX,UZHE470155HTCENA
P301,78,F,Spain,97787846H
P370,36,M,Germany,3641932728M
P177,28,F,UK,PR005914L
P028,55,M,Germany,7279764825F
P385,52,F,ARG,20-59646946-4
P496,38,M,ARG,23-45036113-1
P194,42,M,UK,FO725909S
P453,43,M,ARG,27-38869365-2
P353,39,M,ARG,27-06914953-9
P199,23,M,UK,OU867990G
P466,28,M,ARG,20-91611414-7
P418,56,F,ARG,27-34778626-6
P240,64,M,MEX,BWQF743410HURPPD
P119,61,F,Spain,15782007C
P290,48,M,MEX,XENY636915HNGJBT
P140,40,F,UK,OC505386C
P164,38,M,Spain,76270512L
P285,51,F,UK,CU275658F
P128,69,M,MEX,CPNO286476HXB6LO
P476,48,M,UK,IW722861K
P403,71,M,MEX,WAVE849211MNVYIE
P444,20,F,UK,HL254224N
P149,31,M,Spain,76558573D
P139,32,M,MEX,CHLS100439MTU9L6
P460,68,F,Spain,69561975U
P244,69,M,UK,YD368406Q
P348,54,M,Spain,51783320I
P078,59,F,MEX,YZQY582085HRZ42N
P206,36,F,ARG,23-01229470-2
P344,75,F,UK,NV079122E
P346,26,F,MEX,TVTE436026HRTAQH
P065,32,F,UK,PY241598X
P167,20,F,ARG,20-32765162-2
P383,34,F,Germany,9402533299M
P202,35,F,UK,SC139748K
P449,32,F,MEX,KVSL294797MRQRQ2
P003,30,M,Spain,35727063K
P434,20,M,UK,MI318787F
P074,78,M,Spain,34592395J
P275,77,M,MEX,TVXP812104MBQR20
P487,51,F,ARG,20-70887656-0
P283,55,M,UK,RV314041G
P133,28,M,Spain,78430546P
P365,25,M,Germany,3286066660M
P259,37,F,UK,XM904324Y
P227,39,M,Spain,83130813W
P299,45,M,UK,TS984090K
P287,40,F,UK,MY464974Y
P245,78,F,ARG,23-49705534-0
P116,42,F,UK,XL968778H
P328,51,F,Spain,86216900Z
P118,71,M,Germany,3847984359M
P370,36,M,Germany,3641932728M
P256,66,M,Spain,92363790J
P148,44,M,ARG,20-01092993-5
P142,21,M,MEX,MKZU687913MMZI5C
P373,65,M,Germany,1787292994F
P402,34,F,ARG,23-44672515-6
P022,60,F,ARG,27-17676437-6
