patient_id,age,gender,country,national_id
P095,53,M,Germany,6262513047F
P412,77,M,Germany,6376248051M
P403,48,M,Spain,69780999Q
P259,32,M,Spain,36717485I
P405,34,F,ARG,20-54843019-3
P396,50,F,ARG,23-96809353-9
P361,54,F,UK,FX217662H
P098,32,M,Germany,4430399628M
P047,68,M,UK,MP087005X
P328,43,F,ARG,27-15591084-6
P276,55,M,Spain,74410357H
P474,40,M,UK,JV972824N
P332,22,M,ARG,20-37395717-0
P344,72,M,ARG,23-69262743-1
P223,32,M,UK,TM292514P
P305,40,M,UK,ZJ336200R
P179,30,F,UK,JM041374T
P067,75,F,Germany,4152070308F
P156,68,M,UK,PP389463Y
P199,31,M,MEX,PGTA429979HZH8IH
P169,59,F,UK,WF615996D
P178,49,M,Germany,2632907618M
P025,71,M,Spain,53595624M
P422,63,M,ARG,27-31752328-6
P039,23,F,Germany,9328714523F
P171,45,M,UK,SS057334Y
P085,71,M,Spain,86227043J
P285,76,F,MEX,BEDC726099HAM7B6
P150,75,M,MEX,BHNK642228HVAMQD
P378,69,F,Spain,80235086A
P483,71,F,ARG,20-77211630-6
P320,40,F,UK,VM151348S
P182,69,M,Spain,15871014J
P148,74,M,UK,MN826720Q
P310,77,F,MEX,YQND628465HPGRY9
P180,48,F,MEX,JAKE494492HEXP2R
P042,31,F,UK,GQ718991W
P364,37,M,ARG,27-15406323-9
P197,52,F,ARG,23-28355632-1
P221,49,M,Spain,95953284U
P096,21,F,UK,NN170789F
P225,28,F,Spain,09034465I
P355,29,F,Germany,9675161460M
P468,24,F,Germany,2792822037M
P329,63,F,UK,FI726523X
P152,76,F,Spain,00961402P
P248,30,F,Germany,5803656819F
P277,61,M,MEX,QPRZ611354MVMJ3L
P083,59,M,ARG,27-33488673-7
P110,56,M,ARG,20-90287410-5
P228,25,F,MEX,VXGH445872HXBFQI
P304,49,M,ARG,23-59563182-6
P177,42,M,Spain,55152217P
P051,40,M,UK,LH693904K
P333,33,F,Spain,52284147O
P467,77,F,Germany,6797283155F
P238,54,M,MEX,ZNST443863MJUOAH
P190,67,F,ARG,23-96896753-9
P335,55,M,ARG,20-76911483-3
P500,32,F,Spain,69161989A
P052,24,F,MEX,NCVK095943MZH5I3
P143,62,F,Germany,6218955890F
P377,39,M,MEX,JJDD439782MNI8ID
P499,52,M,Spain,00713610F
P382,60,M,UK,DG423176G
P357,40,F,Spain,02431970J
P262,36,F,ARG,23-77284106-8
P018,34,F,ARG,20-83364513-2
P446,31,F,Germany,0975119864F
